Transaction Hash,Time Taken
0x0a8042f055ad2b9d9188590407d498257c04151aeb51c301a8c15a16f0681fe1,23
0x3043d980b67e600232e1be1cbb63fcde43ecdc1e67cd0297bf4faa754e768d46,25
0x52e9ebac2cd51a17ea3f881352724393a8d7f1f67df51dd7cd303d0f7c711d2f,37
0x999c84d08e7d07ee9aa0d0ac3c168c6a5612abdf2d0a725eb3ebfae1c90efc38,23
0xc295b06e24993af0478aa15534eac2426c4f416b84264270ebcfb8e39e0d4929,19
0xc295b06e24993af0478aa15534eac2426c4f416b84264270ebcfb8e39e0d4929,6
0x7132c28f72a463e42a32eb2ba91f35c435affcff851049e37dfcc2dfee7c1d72,17
0xcef862c7a8d3e70c61dfc875305199faf28d2f36ee84e1747ded9ec0fdde678d,22
0xa0805d1254e03ebfebf80acf470c98d02246bd79c976dcfa49ab8e05db4c0d90,23
0x523893138d465f9aaef54da185affee3c7f8a14386e2c938a1afb98b63c63846,40
0xf924acf2a33d6dca371c998ce9da4ea03b43adf86a79dd51233d316b85dc460e,39
0xbf8e07ae94fcb5cdac330778c146699b5c0c7749043e15fae4d474871a31f3e3,19
0xaf38d98f17ca1ac223310db4c667f0b07ea2480fd70b07d8dba8a58c7b5f937c,20
0xc0d01fe6d8417237cb6da2330b34dbf35815e2d53bb95baa83313cb9688c62c3,30
0x10b6ac32f48f731f713e63203b029381737793815399180aaf4c9596f996876a,32
0x4a2c4ad9f0d4d49543239510f38488661512d06c80c7ed71147eaff0eb432680,19
0x6403fec6fb9b93026084dbc34605e1af89e38d01df1f67e465b4bd88ab431889,20
0xac2f2e499491dea32870a3e5528be21c0e5e171b355ef96716e008feb23e7447,14
0x378c9afa97a467656db8e3edb9c341c09b7e12ae34addbf68dfc383064b6dc16,20
0x6735d03c8aad8af8f8209efe4c2b500b2d8cea8d7b3060550b816a2850ae4807,36
0x88530e2f153895aff6f88ee50ef3118132ea0567687e7935b44e1edc62454118,19
0x90d9ef05e4f0032339f7485cabbfed671ae4052b4fe457c0879aba1a1eb7a56c,9
0x76745c081333c75e58242bd8c4df7212c2beeb010b73285ab43b18da5409c003,19
0x22e63e7a60b774f7c24e5173570225fff8f68665a84ea5561700eb44fae23841,16
0xc2f5c08e273a3407b25777564afdb1fc25ea8962a0972e374d50b20fe127ba88,9
0x839d6fa2afa02139670cfc330d15ba3aadc9f69a734278357ad7bbe25569fbc6,20
0x65ef514970480de44f6d9b0f94d1b0f1b8a79610d879783a3c544c672244b66f,9
0x20ac883240a382c64ae48b132aa63e36d854cc33b2bfdf685136066d50b5abf5,19
0x459730026cee5f959d8b07cfdbf908cd3573b97704e9e8b74553993e66146b39,19
0x55d27d0b23d6a8765d4c9a0cf5450704a92de01b6f673b8f0106b7d9a0547858,28
0x9122aa139c9b93561114fa833394ce010799a15b8002a636f41fb1a1e516007b,19
0xd731d43b16ac75916118f9f82179371f6751f16e2450e793b3a924ec14c30814,11
0x5b787d397c3a19ff703ea3498e8bb6876b848b65825085e3f3fe9c7f9553d284,19
0x863bde75095aae0cafd03f1d26fd0cf82f05dfcadb4cba88775758e3fe5113ba,13
0x8b7d2ae087f91371e9eb53df2e80533d9d70923d2ef6563435ef6d4c26731002,50
0x1954361e91dd7d7da011dc7fa9993b08b72353fbb7738d3159027c8dcc716e0d,155
0xed8b8860b5e897d23564a7baf4dfac77cdf4c0462ffbec078abda29737a79948,20
