Transaction Hash,Time Taken
0xd68c903b080f05f816024e36fc379091b887f49d1509a2b7d1bf83923b31be06,8
0x699ab2d69c5af1446588a15e03c8642e567a73d4b4544729279d1a079fd1a91f,21
0xce8d0422c7cc4bb3897f69ff552de69518cbac970e447364bf256e57fe6266b1,19
0xbaec6daf34cb241393fdd82cb167e0d0c0fe664b6a9905fc11aa0c149e5ed85a,11
0xd93c7b2c8b2d29d79eab92c0665aab91d78758acfaab708def8d24a171d2dd03,19
0x0a2ca4d4d8b10fce25a88418bed72763b269bcd1b28c50d6ea1905d29b5c72c4,19
0xb3352e6a787cd85772ab00e04496a04ac57c3d5c1555030fe4a2b15ce0bcf3bd,16
0x24f64ec3578260aaaca4a95743e78f80cdf5440585cba7d94a26f47ddf276934,14
0xf4604d4da94267adb77d91033eeff78b3ce96674dda402c2f3a9c27eff23e108,8
0xc866daeef86fdbc0c4e8e30103b0be04bd9175037bedb25d818d18d8499ee97e,19
0x67976c518235c2de4a35d2d90aebcddddfaaed04c438d7b810b61d08a64f144f,6
0xf762151b9e1e7a48c207c9b5ab29e26579f4c5b088f4bb81dc38a68984da160a,5
0xb6d733e8cbfe49ebd69f593f6c36faaaaa0f087685a15aa94a608aa8033e268a,5
0x163ed746b3766d442e644c0ec65cc0c6bb6a021313a8c18d827152f728cee414,5
0x1d8cdb68e1e486b333c4b80419d118eeec788ce1949b79c577f881be2b5e6aa7,20
0x37ff7be92f5c601892e73508a5739460c8d1416c74e893920488666327ccabf9,5
0xe2d4075455623f93df9197a2cde9b30c315a0820b9ddbe9b4c9e58a781ef5bc6,5
0xfabfc58cf701e3cc5772031115998cf60eb4d8d12ba9780cb05e47c6de0ca8dc,7
0x5bd2b0ecc91e958fc24621393394cc1e15c160f08f1796473c00923486b7f810,20
0x845b0477002bd9eb8cba293d38b81e3974b5482857c20c3cedf8eea9322a0108,8
0x746ea4111b207766979b1518fc9fe63cd40f72d50416ac7034dfc33a81c38100,17
0x243977f9702828034b7da127f976049e4908ba8bc25a49c500c5972178bdd100,9
0x53551bb48e65686d4abe4ce02cde88d64ff475fac7b126f52606fa8e67e95417,10
0x53551bb48e65686d4abe4ce02cde88d64ff475fac7b126f52606fa8e67e95417,4
0x0a67ba00caefdca4a11ad5efdb13b755d11587de8be56f38944934e06c4a9b32,17
0xe759c26a61b14b321f7e5bc97d95898213ee34fb381737208cb120b77b9d32cd,12
0x0a16f67c4c980e09736d74c71655752ff1c0f4ca3999b2c54fc8020fa677c460,12
0xca0b984c2149534bec4bc946bb78e9783810e89ad39235f57a38baf8a35c7ad8,6
0x3b538c950b46f170e1710eb2b40a3a2c7d38ace1a0404e70482cf4ffe6b3f508,4
0x06d069b3bfd991a333d3f79ae2b0041db94dcb17b1e2a209454bd4d2106e7dc1,6
0x166c38b109b620c1dcce73f53f98d964b4aecd2c824bc7826a0b54da4472e1f6,6
0x1f08654206e4ddc8c85d8bcfe2fc42c1ae1f9811234864a5d23461e9d52d1ada,7
0x905a373ee8d1ca062326f7e9b04a9dd8059adfa8b5f76dbf625228af79f8fc17,6
0xea01cd7029c91cf028c2f4afd8761145bf9a0d02f94418387640f43ba1aecec1,5
0x1905a22213681b4caaf2e4b12689b4f4c5d0f662baa67dea71f54c8235a42514,5
0x5fec3448ffa24cf576d5bb01dc9893cdde1a6a1230a4b0d2377b9194cf282dcf,13
0xda341f92e28c28dd93233f88e2fc404de83e3385c57dc743d5caa0889f77a935,7
0x98b62e6c1fcc4cb7ea3f99ca005c9326760b8596158544064c2e210676516186,7
0xc941d4b2c06e8bc50bf338079bd1b2c13cb9e502258f60ed4c53e33782343597,10
0x43c8e56e29740b75aed9e9a1717b2cbccdb640a757eccca675486af65967fe03,7
0xadac1b7f0adb24ae4c7d3fd776f6997d7a7413e434401dfcc9ba7ba8484957a5,6
0x2d96270907d1876f296eb6905ddc05957c2107078c096a681e6a726da8b61738,6
0xd00f79016507b3fdd162a01044336dd536f9bd364db0d77db5b69af64a5cb8ec,7
0xd654d8b837939f49b9b6b73edddcb69966d04eb2eb3a54c46b43aead3cfadcaf,7
0x027275da3c4bceb51aee6b8966fe9a1b3084e202d98c95ce299b65db3c6e1ad4,19
0x9e6f3ccb3d345105f8efebf4cbd08044f435a4f44b005a5a837020ca97e118bf,19
0x8100232cef3ecab15c98776f25c12a949675eb53213f7dc1456cc22ae1b8e78d,4
0x8100232cef3ecab15c98776f25c12a949675eb53213f7dc1456cc22ae1b8e78d,4
0xe10661238785a9df9057d1397a9bc273b97eb1d4c7b032d639a5e25a539f6f65,20
0xdf142104683cf40424d80a064fbbeb9d08e65b30fe3ea1c41d32ee332ab6e422,5
0x82e19bac1d70b3b50c3dc9c270be2968416d3b371d25a7839ffa0c316fd1a777,8
0x0a415adfc1e0a8b29d09827ece9a91e281453c87bb5d07f1ea400dde99d0e838,20
0xbd035f22e75c7ba2617b18d13a9a704ec4533733c18ed35080c8087585e608d5,19
0x78aa0b2ec49f339e2a2234717c5fe97596e335e41eae217fe4f47d1242ac1f3b,6
0x78aa0b2ec49f339e2a2234717c5fe97596e335e41eae217fe4f47d1242ac1f3b,8
0xcff9ac643380da8387839675f601ed470f3d0577e5d17adf2abc97ced01319f3,4
0x42b581416c3563d305fdee06497a113117f206ff0252d8d13d13ce1a53e6cb0a,20
0x3dd6e4d87a26b7f20634e6bb73c7fa2b45cc172393898788157b34084c37acfb,12
0x6a5325b59566d5b4c3bd79c0844bfb66517026a41d314c513319d071703831ce,20
0x8963aa69a712aaaec3bef18ce62f4b4da08240cc2e0132b97c6d8ed3e2571577,7
0xf690acee9199f6b9b55a9d2b79c6b391e6f958a5bd5ad3dc5551a436137a3f21,6
0x1de6f262cbd99983ee6bbf998c648d356da6898bfd7be5f7018bca6433279910,7
0x77db2335c84ddda777751bdb5f7c01e106e6c2b55b737346f75b2546369e33f7,5
0x4557342ec83df66aa914d6c538ee2d36cd8533ec53c4decb8981f9635392e7cb,5
0x60874b588feeaac22d983e2f469d8662dcfbe50c62bb9efc1d93647c2239a954,8
0xaa21858411a86cada1237939df609867c3bf4f21d7dae27d0299c366f7d7accd,11
0x99517ba33a87f8b1dc9983022360e74e18db4308723f214ae9469c36cb089087,5
0x4727782e02baeb87505cbad8ad99e3aa6bee423471a10ed8a71fe3f308ee5167,20
0xdbbfcb55faea3858754d8f70e0c323321e0119b83fb66ef5fd7e215f950b092d,5
0xcbc0396f556291200162049e5bc6362f67689bb34e0dfbaf6466ca1152193ed3,20
0x0004788cceb7173aadd04deb0877f43bcb7f99815dbb8ad410dd4f2cf3a6f7a7,9
0xc777a7f6458580bc69a786f24105735d20bf37c6d4bdc109a5f27c6f4afd89a6,6
0x0369e2f81f2e95fbe90332bcd1672473555e79766af9e3c685b6295add4b92d1,4
0xa821993ff55c88a66a2c961e51870a83f18e642d0d427c4129abd99ed737f547,9
0x9c6f0abe6cbbd58da4f558217cb458036be0f85902bc824b9a9ce74802dae210,14
0x2b1684cd2726cf4f99b51a2356f2bff8d752265646a4468f94d695e2a4c73c0d,5
0xca2735dab447cabfd821f78839f7afb6c77581575efd9c774f95079e00e88ebb,6
