Transaction Hash,Time Taken
0x92ff35f1b433c6ba871e70679eac683ea4e76e44032b4d1e108e0add784f6128,16
0xd8d3b0d6d10c8f4ac3ea93047994c899c12e1927e2d6547748b26609a76b7e61,16
0x5e40ef459c678ecf52a2c971a1715dfa663b83d66e41f19950e537e035ca6676,20
0xd92a71af3b669111558023a910cdaa63161a300bd42e9efe7bfd2d35e433e6cd,13
0x82c4c8d0010b35394b0df2078c09d73eea79af28d68b69643886f55fd9579714,8
0x62ea9b7c9cbdb5583a323ebd5e7bf3db8004719fd994f49ff213282201ca525c,6
0x9c218dec31af3143ef817ca12626c159c561374b32351a261fcb3d293367dbbe,5
0x93d3a93026ec5a79402edf226b5e4ef73ff61e9af67a9ed01da91543272d0590,14
0x92591cbac3eaee35059e6f768622f728c5a270b2d559b454ad3afc9f0d9bacd0,12
0x1084398038bf03e8799b8bfc831b08cd4c0046107074a897e653a6db2e67a1b1,15
0xab529eec5d55d02764e0e7ac3ff896ecfdba7cf2f5b43e38862aaf3038f999e4,14
0x81a3b49e9b7ed876fd4f02411ff402b89dd0b00f776a4d2456b4a699a08040ad,11
0x299c2643e54bd664dca665d4a47214173c3c068219c466cd61085944cb86fda8,13
0x70679eba0acfb8c891f8172fc0799a1595b68dc4961aa79b82664da0f309a0f5,12
0x7d5b1043a1dfa9a1eb36f6e93ee109545c5e695b684965d911500f3a0701e167,13
0x8a77dc871b67cd1b7d939cce1cb4d06ee984a9120e0c32512584905d8d73a6cc,11
0x29e67b788115b76349fbffeaf354db215e0c5696435ce9990f94be22c53dcf98,11
0xffb91ad63360177fb228fd40f95bbe295ddadb81b85ca41b30f34ff3132cc818,20
0x905b581ad787da803d22f1d4fe2753a67de3a77be89db3dfe2d89fadf6d67f57,10
0xd4370711ed49ef969b93d086e665903eccac1b4b271416c200fc827b7fdd26f3,16
0x62b616d865a14f763b616205b4d9fb509ee3463706e8af2eda3d641e047827a1,6
0xf2a19443ecaf69594f8dfa000cb1565eb17d596cf8f35b527bd15cbdcb5e7954,8
0x259eca859565b68b70e4e50561f12d64290c901840e6519fdce4f926d6c0ddd1,10
0x14c976aa13958fae5637ff8fbdd51c4469fb5136e985201dfd8791e6597ffe98,14
0x7b15bd1ad449ae8f45ca4804f9c5614ab44da0a198b35af82c58de0fbd0a97e4,5
0x3508aa8cf3d6cc6575a7168334cf312c0bbe24ebf73341e5826ff26f8f07043c,9
0xde8a2b61200c59112674cd75398ba96545f9dbdbef0c9a7dc8968b8e879c7e85,8
0xf2b39839415753b7dda1ff64b9e48ff96f1ce24b9d06d342ed4e9b3050aae524,4
0x26e998c9b583bbbfc475220ef5004865a19b3676d9c01b8d6910500f2dffa568,6
0x08b6552a481b5c77a157c3f3a6d83d3645d2052cf48b4b7771c2466647b3f4bc,5
0x827880b02a9582d4c75ce122eb3389a04b8e8712443493dc9baaa597b2bb9f82,10
0xa6a96cea2b0568743da18af2273ae3f7c19272d194c0327ab01e86a5b28d28ce,8
0xa4608e6d7a78c6c4d086f905349b636c811216957451d70c6ae49491f793ef25,6
0x57069c8e60e16ede6ee9efd172637cca0dd22a884a2fa0ab7dc3eadd340321de,12
0x63f8bdaa2c46975d5638702f5df68d4652f62c21e5e7e4d0f393ea9faa6decc2,9
0xb6a48406345e568f1cd5b7ad295bef51b92fe35874e98da832b508b8c9b2366f,7
0x71ca11040ec609704b45ed2189578656a81745b1d55b6cf7352135045caf07bb,17
0x0a507a67b17f6b5e08afb30bec51a88876f16da95e4009ab81fab7eff811100c,6
0x921fbbc8d8a1caaacc960dffaa9f14d3c48fa00a5d0e64f0d48d9f548b9dce22,7
0x530f96b47ac5bbb6648e711fd734ad1c03e0d5dc8f8bf4a544ff6b531397ebe3,6
0xfe4da66983164c17cbaf23ab8910a40c0f7414a6f1f26f1d2a8309cf0aad96c7,8
0x4c7540871ac981634faa49137d7b8b45cf22e69db4d7aa99eef6681be5cf30a2,9
0xd06a934c8cbf6fb4ee093c0f91864190ad15e59185767d9454db282258e9c4a5,11
0x0ab628ae3460df0c54ca1bf334dfcd27ebd18d7afc1f1e50305cd1ccb1830bf7,15
0x119fd05ccd7bbc0ffc0985e1da20506650d29154aa070ceb0c32bb170ab8e5ae,10
0xb68b9f77271b3d22f425ff08ce0ca7abe921102328871b0b0244e4bfc9ab5d98,13
0x902aa562eb7606b09898e29af86d1c26c7e63bb6a3898503d9d1382c50494f36,13
0xd3dc3ebec15b3790fc924483a02ddedbb6e8965474eb48224eef89f0a39c0556,13
0xeb11e7ec926bb00e4031507348886668f764df2f782499feadb07eaae41be7a6,7
0xbf8b635a6154f411ba8e9dfad4bcc78b92e941cd4d8958878c046d99b0389de1,11
0x003eb9e1a55d69a225120b846c6c512ce5e97559bea4f55ed3155da6c0c8adab,15
0x45cb9a64b087738bb485e872c39eb3e282e3acf378a5525b2d4305fa701c6bec,8
0x0656a339f76630249e4eba8be948d722d62cd2c522bcfad895619cc432212e4c,11
0x384b141325bcb314810d841df3de76938eda69c3caa0ca5d79d4df0c6a184faf,12
0x1731b11d2fe935ea78afd7b8771ea9931f259feb79e1e199dd53fdb39133642d,10
0x74d20968fa4c2ca868c52eb5da5c40dd321f5c824926619488deb4457866f7a9,10
0xb72665546e6f3a16374760acc532f3fbc1ce7ec04391d2ab5407c44df4757134,5
0xe228e2eb5300a2ec7cb960487c9798e7c85f314037f3344ae5bac834da1e5528,13
0x920ab2af501759e2597409910929223fe874814c763efb8d1637c71b644587af,9
0xcc0b6c2231edce06898de9fe0013436db80d356afbfb1e79eb7cd409ed7648be,9
0x0afa2d30c632777a767db55a513fce17bb7fd1238ab53486c9225191d006f0d9,9
0x2bc478701dfb50a1b4afb7d9a7241898c8341dd2902eb2a5b1a188a33eb6031b,4
0x57f0d2f5d9fbf5e225842fc7474796b4f0b756fca9ebf94d1803272eb1441b3c,8
0x95b9e90e3283f3a0f8ed6646769012df4960a86120239a1b46d2a5c002b4d839,7
0x1538c5655c222b41c44b17a7d4db601b0eb09b125ed7c0577ccf82dc6d136f1b,11
0x398074171e8c8723fdd6a3068bbfdabfe524d3f8675e7cfdffc50860860e2654,8
0x4fc776bf4a33ac9aa963432fe6a6bb8e5a89b011549a082ec9e1be87de1a3f69,8
0xcecceaf7002b6153a1c00a4acc96f01c4bbd12c8c595393278ea0263280ed71a,10
0xb642830a5c6be2909a3528a9fd2a2507faa7646637cd6cf9118c41ec6b54c0bd,8
0x654f18b7b758ac48ab2d5edf0ea9e98b6a4394d9111a596b2e3e9dfe66fd876d,9
0xad612aa9b36b3cb9de6eda11f89d53481a6dc5094f66c96ec8faa0c5908ba558,8
0x43693c46bcc783385fb1f9d1f6f5748747afc7757052b54fdb17b5c814e2e8bf,10
0xb95e6bbf38a3a4c60b6a0340efd28ec7e991ae581f4f5b27d88587e6d29c98b5,8
0x47c502639bda17ce904099f30ebc072eead59d5ccacafa2b7719e5fb7a464218,8
0xc665e9157a2a8c1e4dd30c39a7c6b3158444f743f07c6406f46e3f37b6cd2e82,10
0xa0cf28607a67237ba907c9dba06151d737b6917d243d0d8c1f828d64293c8cec,7
0xa89e87c7ffa9478c1ce5065b5c6471cf496c153da2f94f3efc07fb18c1df304b,20
0x7fc96d2fd5bf3020b9e1e6ad9cf450ff73a8028386f0dff799af87f75adcd230,14
0xaa62f03a458120e88e17387d408837650d1ac5a9d6e9b5a1bac4dec7b3042440,13
0x43a8332e5a4b0369fb9b3faaa66a2d0ed09d068a94a8e453931452d17fe4e216,13
0x78597f1cef066f728d7e5671931e6db28aec7af03a78be81dade393fa94e921a,13
0x511f97f04494cd43912b5e74e8abdb5e8697598649499409dd4d343c4074a64a,18
0xa437ec0b0271c5c8d14b5be895050b6768e53245d8e6284f067d6be52dfcc003,10
0x590a2a8fdc8f93e464e10dfa17e6992396e0d07202975161f4fcc1cae9a1e1c0,11
0x93a9adc291c5bca2e2c9dff49bf27fbb436521da09882813a0be97ef9700bc03,15
0x303b046ce98a18a43e535622bffd9e92093ecb602da3088ea2060d78cc1859b3,11
0x9e414d3ad350214fb1acff328dc6a5e075ab14a729349aeafe5ee247ea360d3c,6
0xd5caf016d9061ac70f7d2e3536e46c0ca0448a1b92f4dc6652688d415c2a7b16,8
0x2d9e200db7d9bbeb52b3c3bf76045d36e890344c59d9c6d431f8aadce307c3da,10
0x5f3e0296f3665d37c4044ec3e48b4c582f5e7ff8b450462ba7627615e4c4a6d9,6
0x869ee805e708c72f29c162020b28d57cdab1a69c72d7e5f1804f44e9be863beb,8
0xc2d0642662be9062e78507b29b7433c1a3c7ea8b81ef03f44d11796c5e418f40,16
0x4ef16206bae928da3a8bcea75b3c5c2d721df74c4d941810622ef3c9a87dd544,13
0xfbe4f270e01300f1e5d1ba1d0a507aa4e7a6da7f5c7091f21f49afc5d23866b4,20
0x346e94aa99b2e2dc793b0f9f6c8ceb2e7362eb6a2b39f633be2bc39f58c717f5,12
0x8ca6dc4ab57cadc9d7cc196dc5ab98e7900d6804ed06edea00d712629ed48d04,16
0xf119d29001c6e25a76e763b117a95cd798bf246a3abd712ca58e58653364c3dc,7
0xb9d49f39a622498c4ee5bab755f45210a58f25c8647d1ebd3a2e0e9e46cced63,6
0xc00c8089a0a10ba54745641b1c301a24fbfd1332bb699d636475e73c228aeffc,6
0x1eec6dfbe69a7bfaa1190e265d810aef32e49d49b5df23256c5b70af0b223bb3,7
0xd054b0b9277e28fd6566f47372891ec4d5fb0602f36ed92f5b17fce1d93971a0,6
0xd8ce9c241e8422aff8d43d6acd57c49630cea00ce0d7c9304870a6ac568fdeff,8
0xda28e3cdeb2ec9144888aba486d2d55b0cff6e397b30dd8afd3366e8c5347533,12
0x970c0bb767fcb56eb7d1cfd1120b859e50860d17cebe70b3b0223f55fbae71c1,13
0x80c7ca7b371e0dc3a91d683197bdaf280d5d235270745281e7b38f2cf357e0a9,11
0x54fc558c7e3d55d19d08186678721df1f727ea8b255f120b3f0999fce3aefcd7,12
0x54fc558c7e3d55d19d08186678721df1f727ea8b255f120b3f0999fce3aefcd7,5
0x5893deead7577de1f785a9f1b37e6869cce74a24b763a56a809abc53a91af509,5
0xc515de0392a931e7f0486b0cce15a0f294d6c9e44aaa60f09fec5620d1d7696f,8
0xb4a8bf132bc8cf0be245567ba1bd349280369b95e612be63e0fb4819d1ae3f6f,6
0xe2be049b984426bcb66fd67d9c9d1ea01126b34501aa2197d81e80aec44792f6,6
0x20211dd505379bfbdc4937ee71057d04751f5122ea3b5fe2d496693ad3721192,6
0x83f82b605c2d977cafe1886e7da541ba8ddc1888e2a4d18d1e1e24ff85cea417,7
0x7118a8c3c953d26e5d0fe61f3d5a0dbb9e00672c6c686000c0d9359e180c296a,20
0xdd7036266cb8d9824023853e4f44867c19c902f9ce231c2bf271201643339abf,12
0xf369ba64832058bfed0df1029698ccaefc33dba60b8451161019a0bd8b6719ea,12
0xd41a2cf93548502acfdcb501fe776a1dd13417bc783b0f6159d6e45aa065637a,12
0x3f0bc58ed14e4381ee8fdbb4c4f55ea9400fd7538b09a65d7e6663ee0ed07645,11
0x11ad8a161c0e35fb8400ac5da26c9dce0ba168bd0a23ef05272411d08e0f9eef,12
0x9aa4a7d44cf7eecfbae85985c73646d360106508f787f18f4b58dee6dbbdd362,12
0x8e834bd2bcc1ab33e381c1a94c4e3f038d44388811451c8559e5cf06c5930ad3,12
0x57aec76ec660606bb538e3f0d7c085ed0f09a2aa45663d88a0906492ec493e04,12
0x796948382da25a6cf330dd471d8554729880561341034fbe0f7ed83bc9386fdc,6
0x149585bbaa7b90e48c28bf9b080b75319ef2645fad9e1a9d8ffbbe661f22853d,12
0xbee0cc74e8c00a2502ec0d4baa5a126bd653b1a88a82443587f82edac32be16e,8
0x09b258010dfb54d765f214a03f6fda21bf4a8966ad3ce480f903b07f5f8884f7,4
0x57185275081601e82453f84af7d085bdedb4f7dca4d7f56225d4d4d1dea98eab,7
0xa2f86ad8a72b4bdf1d15de4b2d8d1bd4f8e85dc4d21bbb9ea1ccdf45f9807792,7
0xd03ec1e6841404242adf7bb1df1f85d2dae66a0ec66b94bcaed5df998e0d425f,3
0x2945fe31f2fd31e9822756a8da074e3aea4df546f35f6e5df0f6d627cca0d813,18
0xb5e2ff49eb2509ea9e1cd61d4a7bf86283f0d6ff7288a614f59976c6b7699570,20
0xa7183e2e8ad4a0d099b7d9f0c9a334733c528f955a7a6356cbe8e96d97de7afb,11
0x88e910edfb12b774a53b77194e7ec2a15856ca1f92e7af6f2da45cff82b77864,12
0xcd1b82300f5545a680d0aae7f2b055c6f73f0cd60b32e734b848a806ed5c81c5,7
0x949f8bcd03581811e923b283d442f27be9c3f0d8e54cbb27ba10c458f9b57a22,12
0xa55002febda4f7d79031299a9c6faddc4cd6ff618729ef83d6014243f5563707,12
0x81ef41161e27ae985e34ec08ca358d0fae69ea58c03cd7e6b920732406e07a4f,5
0x3a013563cca5f46cd59a2844499c988c09b673d81aea038520e7bf4a51370146,7
0x7badc71e063bad875576450f49833be4517974b43af9a3e125fdd3287e5c0d18,21
0x631c962d8f8ef67a612aba72db2d07dbae1cffd33d5b672455f43735a85bc4e0,11
0x98f3fa47e4301f8fdf70d4da36dbd141147692ed7bf862059f444aab4fc5338e,19
0xbd878d443502c6ec4ba60b308701af9a2b3a3ef139e340e483c1b7033633e25b,12
0xca067da37d1583ceddb48604d6aa4506f59b4765dceb2ebc7fc0faf0cc9177e1,13
0xbe12f5990b4bc64210d42e72a698b667fd5b89797fc81c76c44ac24971d38983,13
0x9acc08ca80b48cf90785e8531d2438177d20b11619562410a342a61cd770ace1,12
0x23314db2f2b54740c1e5b29df427dbb426b148b3fd5982a07a847cc6f447d9e4,11
0xf9a98de1c9e0810a641bbd98c5f9d8e49668f05a7da181a0379e455daf8e56b7,12
0x3fd8a0f8ed1a8df044df5229bcbb2ef06b48523cc22453c7bc00850950f914ed,11
0x2c0aef6246a897cab16f0f5363904fb8e8bf8f1a1bdfee88abc3cb1a4bbc784f,8
0xc135adbd386869d64d6603b4157440a845794bdba6f6d149ffad918b51f201f5,14
0x42ff70f89f19387cb85a08c15c45e424025b0cc0ca95a7fcaa7ef3727bc2669b,16
0xd6482de3e37e63b594afceaa913b77aded8b88c1dd70c0339cb556c67a3e2924,9
0xd33c6ebd35a8eb565c66bd900a82b6576538b062599e5831d1bd79d010ba7840,6
0x18736fb15228d024d6e8ad77076a67db927f298097377adb180cd816779d015f,9
0xa6a0815b0bfcb891cf2094682aff42541f9cb1b7671358754a26256dba0cad2a,11
0x460ce6548821e3652769a5b20c5c191935f7a8459224b88e0b9e169ac50b56c5,7
0x7190c7d3a46f6791e92c9692b62dfb2c759161455794bf88b2ccfff8f1020d61,3
0x84695925c8ef26e7148085400e9224a314f0cc9173e0eac25f74f0784eec7076,11
0x87601998c3d0f31640fd3b773fa28cad74a31088c1ceba5b99bbfbcddef7bedb,14
0x7af97b9fdef82990fd3a453acb087eab0a4de90bb465d1bf6290f6173a7b4020,12
0xd81a9b19efa23abd6760f18e940412fbc72eba03abf71f829afb4bdfec46b6d5,11
0x7b4ceacf2db86dfd1cd919ce1db4e7703b3e3939edfd3aef071dedb8ed8263f4,17
0x9e8e0efa454dd7e9d4ad5587a257496bad95cfd47a04b875d50c53c23472ef26,7
0xc330ced3854ea474b3ab8d0f240033992808b94efd827a83aa54c2d7fb0cd708,19
0x4134e920dfa50e5591a8ed2bb53b7d7d9c7197ff78fd22cc34f1190c72d7dd56,10
0x33dd034a93d9c72d921b168545259a287d1c6e4d6ea91993d5df880a4fbb747c,6
0x5bc8dff52dbd6ef8cc05b0241e8600c5586da09f36bf3e3af4509f35ddfbd1b6,6
0x34a95396f196ef01b2c090a5c0a536a438758df5dd758e080ae9607f95c0f4c5,8
0x271ccc7664729dba7bfd07a7bf3656c29908cfbb194249f5d6c94ffd39df67a3,12
0x12315f13d2288f6aa092564ebfee40da413c9dfbffd6a35f5ed4a2d2834e06f5,11
0x9eb7dfca55684f666db55ce31a46e6544d553f11d8a24c87633aeab66b61a920,10
0x04fc89e2db56b596eee1d82d04105f4f5bb0fbbaf67fe7877b95a34d498bdce3,10
0xd90ab0301c10db77f239cfbc03991089ccd34606e95ac178f62af72a004c4f5f,12
0x61fc57f5a1a7905242a40c85cbd1caf0341452e5eb4bc63f005c3b756a6a2edf,9
0x558572754321ba0b4b39005e839bc2f3c8d16d7f43135af8fa45402e6ec24c15,13
0x3176aa52113143c6ab5f1633814baa4f3631f2bbcd05682138459a7e8370277d,16
0x19ffec4e57df6b159b5c62ae07d7fdaac6e0a04ba9907230307be5228ca942f2,10
0xe8657ca3aa3d17b98c4ecbce5133026fd9d717c60755491d53d8087e7e434807,9
0x7a968fe4f58b4f8fad300dda382aeb887bf448a01317ddc72422429d67076738,19
0xf60e7ea2522a71dd2d097cc1ccec872dd5fe527238b92ff8a0b90018b24d308d,12
0x4911c29e7f6689d9791386e424f58421ee2b8aa5bb85023cfd77b4a6f1c9dc35,9
0xc60ac407894fe548bd5373f769cea831e78a2ec1fcd8f2be45451720c8358490,9
