Transaction Hash,Time Taken
0x06f2a592e187b73b8698e5a64b64c3f698fbbac1a64a9b72ba0283ee26e27de3,30
0x7a1bcb23eea3fe39816c0060ee3431322858f94cc4d8c0568c34126204428c33,12
0x387e1d4c2abc47000559e4e6f898011935f69ff29a776f40e24f4b605e219abd,38
0x237ebe01be88e0786fa6a655598d143ea88fd774aa7dd42bbddb3697a967d8ff,12
0xeaefdbabdd37e93aaab3fab746ad5d94317c45cc860e211f1fd3295bce875101,19
0xc022d5fda55ed1e054185a32d185a157424eecf6e096995ec4355bb0d2ca6556,7
0xd18fcec944f9e0e22d902014d5340683293a5868445925738f9d2c401cb27499,18
0x6ad8f56eeb17e2cc35b07af23cfe077b0c11113a645464897e2562f2372b9396,23
0x797af2b97e4b4b2de2de0310199e7a40eb0c3f08e7ddf082cca39fd567c8f2fc,12
0x8a34624d1936980ddc56bee96af350f12fe769cfb5cdf00f1b6a6bb7021f6af6,27
0xdf9c3f547e5162c795e76241c4ce4c685310af4e1b05e30f9f81f2750c48394b,42
0x3ea14ebd93f27138247bbd9e7a35e45e0e0347c135987f05cf1eb55789ca20a8,17
0xe3509ccd7acb1d6a7458a73ce4ad8fd542bfec6af80c5e35f3efce9e6d78b482,32
0x53a7d559cad31e0c3494c113755980bc2cee7d24025bb19d8c10cf32a2c49f31,33
0x2574855206d5c9c15c915cbe2d8300cf2f9c2382b27825a9bdbf48d8e80693a5,130
0x0adf49e02e9e6ff4e9001ab922e118ece69c8c181db74dd67eafa079edbbc550,42
0x95146b4f58a29e36a6bb565eddb68ddf1914da98b1f92d4946d104b839f0f490,16
0x77d10c1269d08332991c209f720c4b700a048b6c7a347ea156d53836a7c33d3d,16
0x762c178b0d1ad30a3fee6349eea0e7a2e75d76992e0771967e2555712b8adefb,24
0xe135286a01655eae6cae8e60cc96621ad04a7453ae8bf79d2cec56f0dc4a7659,19
0xe767b9fd0f6cf0ee8bbfe032976afed736191e8fcb0eaa0c1201584c1b8d2db8,33
0x58c81bb4af4da81b8b2eb26583684cebadff0c095b4b38c16bd2323378f1df40,6
0x16804b6ba475cbb3fa12ca07378aaa4338b3eec00f233368f4faef2103079f16,19
0x6a00de5a61d9254c16b95d413ebb35729d035596332c85152aa63b514315de7f,14
0x9ee3849291dadad19eae6184251ddb597840247a0f1b929c4f745ebeaa1c4f48,13
0xfa817e7de33a6714b1b9d8b316ee302207d061dca99aa5cb17af8b29aa036e5d,12
0x1b6e7999dfe9ce4a81584f43b3d993ad2f517f02c1789bd8f787f0a742b2703e,12
0x6f07b32c4736c68cf282f8ba87ae0fd9cf475835d4e051e4574633ae9503715e,10
0x522cc3bb4b7cd326b2e08f0a535996afe996fbbe974a13f54283759d0cb552f2,35
0x11f0825ed87d4a8d2cb68ad9759d33b9972f4f793ec18aade044ac104c99ad33,22
0x3a8e3b5f5d1e39fc38a8a07cfc8622d81a94742367ea90b6ea7cf2d6d40bf386,68
0x58999a627de0e20f7b8c6b4c7d10eb49932386aaa9e003b49db746706c3df4c8,9
0x266518deb21028113fcb53b1cf3ccf61e6b074d0169270521ba550bb450d3688,37
0x17b6c4e6cac65401e231713efe6ed5ac2141a5f1a39f2c5524f6e714cf2d5813,57
0xb8653f42ac102066e6ccb283e04538f4d8d31ea8ab6fa96671bb2404e5da4cd0,11
0xb89972c161c036a9d51b2833505fdd183bbb3a8f7ed2cffb440dc0baf3c8a8ac,7
0x6015d68660dfa8ebdb732a7dc0f03b069ce64d2ce522ab68133f8beec1ff8ead,15
0x5526d5d13a9193c177b51b57a2d0b4fbb8236e274ac6c4011ddb8449403ba6c2,38
0x603f602c583796dde702bf6d4bb60a368052607e3777960ba364e288031ae4b8,61
42-4,
